ID,Name,Evolves_from,Type1,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
1,Bulbasaur,,Grass,45,49,49,65,65,45
2,Ivysaur,Bulbasaur,Grass,60,62,63,80,80,60
3,Venusaur,Ivysaur,Grass,80,82,83,100,100,80
3,Mega Venusaur,Venusaur,Grass,80,100,123,122,120,80
3,Venusaur Gigantamax,Venusaur,Grass,,,,,,
4,Charmander,,Fire,39,52,43,60,50,65
5,Charmeleon,Charmander,Fire,58,64,58,80,65,80
6,Mega Charizard Y,Charizard,Fire,78,104,78,159,115,100
6,Charizard Gigantamax,Charizard,Fire,,,,,,
6,Mega Charizard X,Charizard,Fire,78,130,111,130,85,100
6,Charizard,Charmeleon,Fire,78,84,78,109,85,100
7,Squirtle,,Water,44,48,65,50,64,43
8,Wartortle,Squirtle,Water,59,63,80,65,80,58
9,Blastoise Gigantamax,Blastoise,Water,,,,,,
9,Blastoise,Wartortle,Water,79,83,100,85,105,78
9,Mega Blastoise,Blastoise,Water,79,103,120,135,115,78
10,Caterpie,,Bug,45,30,35,20,20,45
11,Metapod,Caterpie,Bug,50,20,55,25,25,30
12,Butterfree Gigantamax,Butterfree,Bug,,,,,,
12,Butterfree,Metapod,Bug,60,45,50,90,80,70
13,Weedle,,Bug,40,35,30,20,20,50
14,Kakuna,Weedle,Bug,45,25,50,25,25,35
15,Beedrill,Kakuna,Bug,65,90,40,45,80,75
15,Mega Beedrill,Beedrill,Bug,65,150,40,15,80,145
16,Pidgey,,Normal,40,45,40,35,35,56
17,Pidgeotto,Pidgey,Normal,63,60,55,50,50,71
18,Pidgeot,Pidgeotto,Normal,83,80,75,70,70,101
18,Mega Pidgeot,Pidgeot,Normal,83,80,80,135,80,121
19,Rattata,,Normal,30,56,35,25,35,72
19,Alolan Rattata,,Dark,30,56,35,25,35,72
20,Raticate,Rattata,Normal,55,81,60,50,70,97
20,Alolan Raticate,Rattata,Dark,75,71,70,40,80,77
21,Spearow,,Normal,40,60,30,31,31,70
22,Fearow,Spearow,Normal,65,90,65,61,61,100
23,Ekans,,Poison,35,60,44,40,54,55
24,Arbok,Ekans,Poison,60,95,69,65,79,80
25,Pikachu Gigantamax,Pikachu,Electric,,,,,,
25,Pikachu,Pichu,Electric,35,55,40,50,50,90
25,Partner Pikachu,Pichu,Electric,45,80,50,75,60,120
26,Alolan Raichu,Pikachu,Electric,60,85,50,95,85,110
26,Raichu,Pikachu,Electric,60,90,55,90,80,110
27,Alolan Sandshrew,,Ice,50,75,90,10,35,40
27,Sandshrew,,Ground,50,75,85,20,30,40
28,Sandslash,Sandshrew,Ground,75,100,110,45,55,65
28,Alolan Sandslash,Sandshrew,Ice,75,100,120,25,65,65
29,Nidoran♀,,Poison,55,47,52,40,40,41
30,Nidorina,Nidoran-f,Poison,70,62,67,55,55,56
31,Nidoqueen,Nidorina,Poison,90,92,87,75,85,76
32,Nidoran♂,,Poison,46,57,40,40,40,50
33,Nidorino,Nidoran-m,Poison,61,72,57,55,55,65
34,Nidoking,Nidorino,Poison,81,102,77,85,75,85
35,Clefairy,Cleffa,Fairy,70,45,48,60,65,35
36,Clefable,Clefairy,Fairy,95,70,73,95,90,60
37,Vulpix,,Fire,38,41,40,50,65,65
37,Alolan Vulpix,,Ice,38,41,40,50,65,65
38,Ninetales,Vulpix,Fire,73,76,75,81,100,100
38,Alolan Ninetales,Vulpix,Ice,73,67,75,81,100,109
39,Jigglypuff,Igglybuff,Normal,115,45,20,45,25,20
